"","Username","Ulasan","Kategori","","","","","","","","","","","","","","","","","","","","","",""
"110","Siti Maisaroh","Saya berkunjung di hari Sabtu, tiket masuk satu motor dua orang totalnya 28k, di tiket masuk tertera parkir 2k..tpi ternyata bayar biaya parkir lagi hehe, 2k atau 4 lupa..air terjun bagus, bersih, spot foto di tangga paling atas bagus. Bisa ngopi harga terjangkau, murah lah. Mushola, toilet lengkap.","positif","","","","","","","","","","","","","","","","","","","","","",""
"111","Paramita Setiarani","Ini air terjun yang paling bagus di daerah Trawas. Jadi kalau main ke Trawas wajib datang kesini. Jalannya pun gak jauh dari lokasi parkiran. Akses lokasi dan jalan sudah di perbarui jadi semakin bagus. Mendakinya gampang banget, untuk …","positif","","","","","","","","","","","","","","","","","","","","","",""
"112","Alif Hamdi","Recommended buat wisata dekat Surabaya, tempatnya sejuk dan nyaman. Bila ingin lebih lama disini disediakan juga lahan untuk camping.","positif","","","","","","","","","","","","","","","","","","","","","",""
"113","djungest","Tempatnya asri sejuk, kawasan cukup ramai pengunjung apalagi weekend. Di depan air terjunnya ada banyak spot camping ground dilengkapi fasilitas toilet umum, musholla dan warung makan cocok untuk refreshing rame-rame bareng temen atau …","positif","","","","","","","","","","","","","","","","","","","","","",""
"114","Vivit","Suasananya tenang, sejuk, indah & asri
Saran aja kalau kesini pas weekday aja krna cenderung sepi","positif","","","","","","","","","","","","","","","","","","","","","",""
"115","Dwi Rika","4x kesini dan tetap SUKAAA BGT hahaha
di area sebelum waterfall nya itu ada taman kelinci dan gazebo2 gitu.. lucuuu haha,  tiket masuk taman 5k per orang, utk tiket masuk air terjun 15k per orang …","positif","","","","","","","","","","","","","","","","","","","","","",""
"116","Zakir Husain","Seger banget main air disini. Udara yang sejuk dan bersih. Jauh dari hiruk pikuk perkotaan.","positif","","","","","","","","","","","","","","","","","","","","","",""
"117","M.A Rofiq","Tempat liburan keluarga, perjalanan ke airterjun gak jauh jadi gak terlalu capek..","positif","","","","","","","","","","","","","","","","","","","","","",""
"118","Ken Zhu","Dlundung makin keren ada banyak pengbangan wahana... Pokoknya lain dari yang dulu... Joooosss","positif","","","","","","","","","","","","","","","","","","","","","",""
"119","Qomar Uddin","Temper sekok..
Snake murag meriah
Yang blm pernah SEGERAKAN DI agendakan untuk kiburan ke wisata air Terjun NDLUNDUNG WATERFAAAL","positif","","","","","","","","","","","","","","","","","","","","","",""
"120","Brandal Berdasi","Parkir untuk motor sekarang tambah jauh jaraknya. Beda sama dulu dan terlalu ramai ....","negatif","","","","","","","","","","","","","","","","","","","","","",""
"121","Sulaiman Bin siono","Wisata air terjunnya indah banget sejuk dan nyaman","positif","","","","","","","","","","","","","","","","","","","","","",""
"122","VADJAR Lazuardi","Keren, indah, alami. Bisa buat kemping. Kerasan banget","positif","","","","","","","","","","","","","","","","","","","","","",""
"123","dytha noviyanti","Tempatnya bagus dekat air terjun.
Ada tempat penyewaan tenda dsbnya juga jadi gak perlu repot bawa.","positif","","","","","","","","","","","","","","","","","","","","","",""
"124","farid candra","Tenang, nyaman, indah, enak buat keluarga, kumpul bareng teman, etc","positif","","","","","","","","","","","","","","","","","","","","","",""
"125","Me","lumayan bagus, cuma sudah sedikit tidak terawat, air kamar mandi mati, banyak yang rapuh, dipintu masuk sudah bayar parkir, masuk kedalem ditarik uang parkir lagi😐 …","negatif","","","","","","","","","","","","","","","","","","","","","",""
"126","Fairus zaki Official","Tempat yang bagus dan indah buat refreshing dan melepas penat di akhir pekan  karena letaknya diatas perbukitan Mojokerto","positif","","","","","","","","","","","","","","","","","","","","","",""
"127","Diah Ayu Rahmadani","Tempatnya bersih, jarak parkiran ke air terjun tidak terlalu jauh, bisa kecek atau main air di sepanjang aliran air, masuk htm Rp 13.000 per orang kemarin ke sini waktu weekend kurang tau harga tiket kalau weekday, ada cafe baru yg …","positif","","","","","","","","","","","","","","","","","","","","","",""
"128","Safril Thoha","Bagus dan cocok untuk wisata keluarga, syahduu...","positif","","","","","","","","","","","","","","","","","","","","","",""
"129","Khoirika Cahyani","Wisata alam murah meriah dari jaman SMA sampe punya anak kalo refreshing kesini. HTM 14rb, parkir 5rb untuk motor. Parkir luas, banyak toilet, tempat camp banyak, ada lokasi baru untuk spot foto dan taman kelinci buat edukasi. Cocok buat wisata keluarga.","positif","","","","","","","","","","","","","","","","","","","","","",""
"130","Hans Putra999","Air Terjunnya bagus, cuma kurang terawat","negatif","","","","","","","","","","","","","","","","","","","","","",""
"131","Lucky Lukenz","Wisata alam air terjun yg indah dan ada tmpat2 wisata pendukung lainnya...sejuk, adem dan alami","positif","","","","","","","","","","","","","","","","","","","","","",""
"132","Agung Triyono","Tambah tahun tambah berubah jauh lebih bagus. Banyak berbenah, banyak perbaikan.
Semoga kedepannya jauh lebih baik.","positif","","","","","","","","","","","","","","","","","","","","","",""
"133","agus sugiarto","Semakin tertata, semoga tidak semakin banyak tulisan tulisan landmark. Biar kliatan asri.","positif","","","","","","","","","","","","","","","","","","","","","",""
"134","Emi Christina","Tempat nya sejuk, ada tempat kemahnya, pas banget buat santai bareng keluarga","positif","","","","","","","","","","","","","","","","","","","","","",""
"135","Chacha Rayaa","Melepas penat sejenak merefresh jiwa...
Menikmati dan mensyukuri kebesaran Allah SWT ...","netral","","","","","","","","","","","","","","","","","","","","","",""
"136","Aldo Syahriral","Sejuk, enak buat ngopi sma refreshing","positif","","","","","","","","","","","","","","","","","","","","","",""
"137","Dinar Firmansyah","Bersih lokasi, , anak anak saya suka disana utk camping. Murah meriah utk sewa tenda. Yacocoklah ngajari anak untuk menikmati alam. Saya pasti kembali lagi !!! Ngajak komunitas dan keluarga utk bercamping mengenang jadi anak pramuka.","positif","","","","","","","","","","","","","","","","","","","","","",""
"138","tanal jr offical","Semakin bagus aja, Tuk liburan sekeluarga sangat cocok,semoga thn* ada kolam renang tuk anak*
petugas parkir banyak,nyaman","positif","","","","","","","","","","","","","","","","","","","","","",""
"139","Anderrafega Online","Untuk wisata keluarga sangat baik. Banyak warung makan.","positif","","","","","","","","","","","","","","","","","","","","","",""
"140","evi yuliana","tempatnya bersih,nyaman,murah2 makanannya,kelincinya terawat.","positif","","","","","","","","","","","","","","","","","","","","","",""
"141","Ichwan Kosasih","Kesan pertama saya, acak2an.
Parkir mobil bisa dijalan menuju air terjun, ini sangat menggangu pejalan kaki.
Padahal dibawah didekat loket tiket ada area parkir yang cukup luas. …","negatif","","","","","","","","","","","","","","","","","","","","","",""
"142","Anna Meiliana","Suasana alam yang sangat segar dengan air terjun yang alami sangat menyejukkan cocok untuk refreshing bersama keluarga atau teman harga tiket juga terjangkau","positif","","","","","","","","","","","","","","","","","","","","","",""
"143","Arif Widjaya","Pemandangan Asyik. Tp makanan mahal","positif","","","","","","","","","","","","","","","","","","","","","",""
"144","Indah Ayu Ar Rizkiya","Tempatnya bagus, cocok buat semua kalangan baik anak² maupun dewasa","positif","","","","","","","","","","","","","","","","","","","","","",""
"145","LAUDA 9396","Bagus sih, tapi alangkah baiknya jika biaya parkir sudah jadi 1 saat membayar tiket masuk, karena saat masuk juga sudah membayar untuk kendaraan","negatif","","","","","","","","","","","","","","","","","","","","","",""
"146","Leo Ganda Saputra","Bisa dicoba utk wisata
Namun jika kesana persiapkan kendaraan dlm kondisi yg prima, krn tanjakan dan turunan lumayan ekstrim juga apalagi klo sdh kena macet...","netral","","","","","","","","","","","","","","","","","","","","","",""
"147","Galuh Nurul","Tiket masuk 12.500, 500 asuransi, 5000 camping total 18k/orang. Tiket parkir 6000/motor untuk nginap 2 hari. Toilet bersih, camping ground luas. Tetapi kurang banyak tempat sampah yg tersedia. Kalo malam minggu, pasti ada aja rombongan lain …","netral","","","","","","","","","","","","","","","","","","","","","",""
"148","PRADA NA","Udah lama enggak ke wisata Air Terjun hehe, ini ke 4x kalinya ke Air Terjun sedari saya kecil 😂😅 …","netral","","","","","","","","","","","","","","","","","","","","","",""
"149","VAPER RIDERS","Masuk bayar, parkir bayar . Tapi gak aman . Masih ada maling, saya tidak mempermasalahkan harga baut saya, yang saya permasalahkan. Jalan trawas naik turun dan terjal itu bahaya jika metik tidak ada rem depanya. Dan saya seketika kaget setelah turun dari dlundung rem depan blong, ternyata baut kaliper saya hilang di curi orang","negatif","","","","","","","","","","","","","","","","","","","","","",""
"150","Ayun Diah","Sebenarnya tempatnya enak, luas dan sejuk. Tapi sangat disayangkan karena ditarik uang parkirnya dua kali. Padahal pas di loket masuk pembelian tiket uda bayar parkir 2 ribu dan dapet karcis, eh pas mau parkir sepeda ditarik lagi parkir 4 …","negatif","","","","","","","","","","","","","","","","","","","","","",""
"151","Beken Creative Art","Ada banyak perubahan, tempat camping ground","netral","","","","","","","","","","","","","","","","","","","","","",""
"152","agus heriyanto","Cakep.. Pemandangan dan airnya menyejukan","positif","","","","","","","","","","","","","","","","","","","","","",""
"153","Badrus Zaman","Adem, cocok utk rekreasi keluarga","positif","","","","","","","","","","","","","","","","","","","","","",""
"154","Anisah Nailil Istiqlaliah","Tempat wisata yang cocok untuk semua usia. View-nya bagus buat yang suka foto-foto. Buat yang bawa anak, ada tempat bermainnya juga. Jalan masuknya emang keliatan sempit, tapi bisa kok buat mobil. Tapi jalannya nanjaknya amazing, jadi siapkan joki yang udah terbiasa di jalanan kayak gitu.","positif","","","","","","","","","","","","","","","","","","","","","",""
"155","Joseph","Salah satu wisata favorit saya saat mampir ke Trawas, udara nya sejuk, lokasi wisata nya bersih dan terawat, air terjun nya indah sekali, air nya dingin. Saat mau masuk ke lokasi wisata ini, harus masuk ke jalan yang agak sempit dan …","positif","","","","","","","","","","","","","","","","","","","","","",""
"156","AL Arif","Berkunjung ke air terjun dlundung masih pagi (sekitar jam 7) masih sepi... Petugas belum ada, warung sudah ada yg buka namun masih sedikit.
Fasilitas sudah cukup baik (toilet, tempat sholat, jalan, kebersihan).
Namun masih ada yg buang sampah sembarangan.","netral","","","","","","","","","","","","","","","","","","","","","",""
"157","Wahyuni Indah","Tempatnya sejuk, hanya saja parkirannya dipinggir2 jalan. Ada kolam minimalis buat anak2. Ada sungai dengan banyak bebatuan, bisa turun ke sungai.
Sebelah ada taman kelinci.","netral","","","","","","","","","","","","","","","","","","","","","",""
"158","Yusdiantara Yofi","Pertama kali ngecamp,bertugas tiket masuk habis 150an,dluar sewa tenda 70rb,kayu bakar 30 rb,,toilet kurang terawat.suasana sejuk,nyaman dan bersih","positif","","","","","","","","","","","","","","","","","","","","","",""
"159","Jujuk Sri Utami (Jujuk Sejuk)","Hawa nya segerrrrrr... Tempat paporit untuk camping dan mainan air. Cocok buat yg lagi refresh pikiran hhhaaaa. Sehari aja tanpa kerja dan komputer xiixiixiii. Cuma kl musim hujan bnyak lintah nya jdi kl ngajak anak kecil agak was was. Tapi semua nya okeee.....topppop","positif","","","","","","","","","","","","","","","","","","","","","",""
"160","Mohammad Mas'ud","Air terjun Dlundung, lokasinya tidak jauh dr Taman Ganjaran. Sangat ramai saat weekend, gang masuk sebelum penginapan avila ketapanrame, jalan hanya cukup 2 mobil lewat. Air terjunnya bersih, banyak merchant yang berjualan. Air yang mengalir sangat jernih","positif","","","","","","","","","","","","","","","","","","","","","",""
"161","Ariful Arman","Penuh, banyak yg main kesana,seru,tp sering gerimis,bikin makin dinggin aja","positif","","","","","","","","","","","","","","","","","","","","","",""
"162","Mufid Klaska Residence","Air terjun dlundung recomended banget buat nongkrong. HTM 10k ajam masuk motor dua org hanya 24k, didalem parkir hanya 5k. Suasananya adem banget. Udah dua kali kesini. Bisa buat camping, bisa buat nongki juga lebih asik. Mau makan jajan atau makan berat sambil menikmati air mengalir juga tambah sip.","positif","","","","","","","","","","","","","","","","","","","","","",""
"163","Maz Hamz","udaranya sejuk pilihan wahana anak tambah banyak","positif","","","","","","","","","","","","","","","","","","","","","",""
"164","Ririn Andriyani","Tempat dh d renovasi dg sangat baik. Jalan antara pos ticket ke arah waterfall cukup dekat jd g trllu payah. Mushola, warung, toilet, taman n tenda bwt camping ad d skitar situ. Tinggal pilih j.","positif","","","","","","","","","","","","","","","","","","","","","",""
"165","Fauzi Dorayaki","objeck wisata yang sangan complet dan recomended banget.. udara segar, sejuk di tambah pemandangan yang memanjakan mata, tidak hanya menyajikan air terjun melainkan masih banyak spot spot menarik seperti camping ground, taman kelinci, dan …","positif","","","","","","","","","","","","","","","","","","","","","",""
"166","rivaille brzenska","Tempat wisata yg dijamin bikin mata seger akan hijaunya hutan dan bikin hidung bernapas lega akan naturalnya oksigen alam, overall ini tempat cocok banget dibuat chill. …","positif","","","","","","","","","","","","","","","","","","","","","",""
"167","amalia melany","Sejauh ini masih menjadi camping ground favorit. Fasilitas lengkap. Aman, pemandangan bagus. Sekarang tambah lagi wahana kafe. …","positif","","","","","","","","","","","","","","","","","","","","","",""
"168","Rifngatus Saadah","Tempat yang luas nyaman, sejuk, udara sangat segar. Cocok buat ngeCamp kalau mau foto prewedding juga bisa.
Tiket masuk juga terjangkau dan tersedia sewaan Tenda untuk camp.","positif","","","","","","","","","","","","","","","","","","","","","",""
"169","Suparyono Landong","Tempat...sejuk menyenangkan...ok aja....","positif","","","","","","","","","","","","","","","","","","","","","",""
"170","yoga pratama","Kesini waktu hari minggu...pengunjung penuh sesak...jadi kurang leluasa menikmati suasana di sana...disarankan jika ingin berkunjung kesini lebih baik hari biasa... …","negatif","","","","","","","","","","","","","","","","","","","","","",""
"171","Yatik Hartini","Tempat ngadem yang medsosable. Viewnya bagus, udara bersih, tiket Rp10.000,- weekday dan Rp12.500,- weekend. Toilet bersih. Tersedia juga tempat untuk ngecamp bareng teman atau keluarga. Cocok banget untuk melepas penat setelah seminggu …","positif","","","","","","","","","","","","","","","","","","","","","",""
"172","Tasya yasmine","Tempat nya sngat bagus utk refreshing bareng keluarga apalagi camping.... Suasana nya adem.... Dan sejuk banget.. dan pas camping TDK sepi kyk d hutan jd kita2 TDK takut... Mana fasilitas nya cukup memadai....","positif","","","","","","","","","","","","","","","","","","","","","",""
"173","Agus Suherman Agus","Lumayan bagus tmpatnya asri nyaman sejuk","positif","","","","","","","","","","","","","","","","","","","","","",""
"174","sasa 14","air terjunnya tidak terlalu tinggi tapi sangat menarik jika menghabiskan waktu bersama keluarga disini, pas kesana tidak bisa foto diair terjun karena hujan. parkiran luas tapi kalau hujan becek dan licin karena belum diaspal atau …","positif","","","","","","","","","","","","","","","","","","","","","",""
"175","Dinda Rizka","Tempatnya sejuk dan tersedia fasilitas seperti kamar mandi, mushola dan banyak tempat makan disekitar jadi tak perlu khawatir. Tiket masuk weekend 11 ribu, selain itu ada taman kelinci dgn biaya masuk hanya 5rb per orang. Cukup menyenangkan …","positif","","","","","","","","","","","","","","","","","","","","","",""
"176","depi min2","Alhamdulillah pas sepi jadi puas jalan2nya","netral","","","","","","","","","","","","","","","","","","","","","",""
"177","fahrudin zaenuri","Suasana Seju baik untuk di kunjungi, tapi jalan kakinya terlalu jauh dari parkir sepeda motor ke Air Terjun nya. Yg tdk enak di tiket masuk kita di sdh bayar Tarif Karcis Parkir 2.500 tp pas kita masuk ke Parkiran Sepeda di Tarif Lagi 3.000,. Jadi dobel bayar uang Parkir Sepeda nya...","positif","","","","","","","","","","","","","","","","","","","","","",""
"178","DQ Ilham R","Sudah tertara rapih, lebih baik parkir mobil diatas dekat dengan air terjunnya.","positif","","","","","","","","","","","","","","","","","","","","","",""
"179","Muhammad Ferdy","Tempat camp nya kurang rekomended, nyari tempat untuk sholat aja jauh, masih banyak tempat yg jauh dari ambil air, kamar mandi untuk yg nge camp juga dikit. Mohon lebih banyak perhatian demi kenyamanan pengunjung.","negatif","","","","","","","","","","","","","","","","","","","","","",""
"180","Tangguh Dewantara","Tiket masuk 3 orang 31rb
Jam 4 sore tiket Uda tutup.
Nanti parkir masuk kedalam 4rb motor. …","netral","","","","","","","","","","","","","","","","","","","","","",""
"181","Dewi Astutik","Dari jalan raya mau masuk ke dlundung jalannya kurang bagus banyak lubang,tolong diperhatikan kasihan kalau bawa motor,tapi  kalau sudah didlundungnya dijamin mata kita gak akan berpaling karena makin keren sekarang 👍👍👍👍 …","negatif","","","","","","","","","","","","","","","","","","","","","",""
"182","INDRA WALKER","Perlu adanya tambahan spot lagi biar tambah menarik semisal flying fox dan tempat mainan anak tapi yang saya heran antara karcis masuk di kenakan biaya untuk motor dan mobil tapi di kenakan biaya lagi untuk biaya parkir dan ini banyak pertanyaan dari pengunjung...bisa di perbaiki lagi...","negatif","","","","","","","","","","","","","","","","","","","","","",""
"183","Anisa Primasari","Bagus tempatnya uda kekinian...jalannya menuju kesana jg enak..tiketnya murah..naik mobil bertiga dengan anak kecil tiket awal 39rb..tp karcis parkir ditarik lg 5rb..masuk taman kelinci bayar 5rb per orang(tidak termasuk wortel kl pengen kasi makan kelincinya)","negatif","","","","","","","","","","","","","","","","","","","","","",""
"184","syifa rahmawita","Bagus. Akses menuju lokasi mudah. Jalan untuk tracking menuju air terjunnya juga udah bagus. Airnya bening. Ada taman-tamannya, salah satunya taman kelinci. Untuk spot foto dekat air terjun bayar 5rb/orang. Masuk taman kelinci juga bayar lagi 5rb/orang (belum termasuk wortel). Tersedia toilet dan mushalla. Cukup menyenangkan.","positif","","","","","","","","","","","","","","","","","","","","","",""
"185","Nanang Subana","Tempat wajib di kunjungi jalan mudah ,parkir luas , masih asri , bersih nyaman dech","positif","","","","","","","","","","","","","","","","","","","","","",""
"186","Fatin Fadhilah","Wisata low budget. Asri. Nyaman. Cocok untuk wisata keluarga. Buat yang lansia cocok buat nak kanak juga cocok. Relatif dekat dan medan aman. Parkir luas. Toilet bersih dimana2. 🥰 …","positif","","","","","","","","","","","","","","","","","","","","","",""
"187","Didik Wintono","Tempat yg sejuk nyaman buat santai bersama keluarga, smoga hutannya tetap terjaga lestari buat warisan anak cucu kita supaya bisa menikmati hutan ini","positif","","","","","","","","","","","","","","","","","","","","","",""
"188","Debbi Afita Dian Angraeni","Tempat yg asriii,ademmm,pemandangan sangat indah,(bener bener memanjakan mata),cocok untuk acara liburan bersama keluarga atau orang orang terkasih kita...","positif","","","","","","","","","","","","","","","","","","","","","",""
"189","I AM Best Friends Entertainment","Sabtu, 29 Agustus 2020. Tempatnya bersih. Hampir tidak ada sampah. Anak-anak juga bisa bermain air 🥰🥰. Banyak juga spot foto didalamnya. Dari tempat parkir ke lokasi air terjun hanya ditempuh dalam waktu kurang lebih 10 menit saja..karna …","positif","","","","","","","","","","","","","","","","","","","","","",""
"190","Caroline Lie","Air terjun yang keren, spot fotonya bagus, ada taman kelinci nya, bisa juga santai2 sambil ngopi di warkop nya, lalu bisa juga main air karena arusnya tidak deras, pet friendly juga tapi tetap hati hati karena ramai pengunjung, bisa camping juga jadi cocok buat yang suka camping. Recommended!","positif","","","","","","","","","","","","","","","","","","","","","",""
"191","Ficky Kurniawan","1. Air terjun dan wisatanya bagus
2. Ada side wisatanya, yakni taman kelinci dan omah kemping
3. Kebersihan cukup baik …","positif","","","","","","","","","","","","","","","","","","","","","",""
"192","Vrila","Lokasi air terjun yg deket dg bukit perkemahan,juga taman kelinci.cocok unt anak anak,juga orng dewasa. Dari parkir menuju air terjun tidak dibutuhkan wajtu lama,krn deket.  Unt memasuki kebun kelinci dikenakan tarif lagi.tersedia warung warung dg harga relatif terjangkau.","netral","","","","","","","","","","","","","","","","","","","","","",""
"193","Mega Utami","Liburan disini memang seru untuk tiket perorang 13.000 parkir + parkir 3000 untuk biaya parkir perhutani.. Dan biaya parkir mobil 8000 ditarik lagi..   klau kesini mending bawa alas...dan klau bisa parkir nya keatas klau mau ke air terjun karena jalan jauh banget.... over all worth it untuk liburan bareng keluarga","positif","","","","","","","","","","","","","","","","","","","","","",""
"194","Maron TV","Sudah gak dragukan lagi tempat ini kalau weekend pasti super rame, tetap jaga protocol kesehatan ya, karena corona belum pergi.. ticket, parkir, makanan, semua terjangkau. …","positif","","","","","","","","","","","","","","","","","","","","","",""
"195","Wafi Adiasta","Air terjun dlundudng ini sangat sejuk dan begitu asri, air mata nya yang jernih bahkan sangat menyegarkan dengan hawa dataran tinggi yang dingin. Tempat ini dapat menjadi rekomendasi wisata keluarga dan terlebih lagi untuk anak² karena di …","positif","","","","","","","","","","","","","","","","","","","","","",""
"196","Diva Emilya","Hawanya sejuk, airnya dingin bisa buat main air sama renang walau ga dalam kolamnya, spot fotonya bagus. Ada taman kelinci dan tempat untuk berkemah. Cocok untuk acara pecinta alam ataupun acara pramuka sekolah atau kampus. Minus jarak berjalannya sedikit jauh dari tempat parkir ke air terjunnya...","positif","","","","","","","","","","","","","","","","","","","","","",""
"197","Defi Kristanti","Tempat bagus . Nyaman Cocok untuk liburan keluarga
Kalo weekend pasti full jadi kesini nya lebih baik weekday aja😁 …","positif","","","","","","","","","","","","","","","","","","","","","",""
"198","Tiar Tiara","Bagus-bagus air terjunnya, buat menghilangkan penat setelah bbrp bulan ga liburan. Hoho
Meskipun pandemi, tp tempatnya tetep nerapin prokes kok. Yok, yok, yok yg mau liburan. Deket-deket tp menyenangkan, lumayan kn? Drpd jenuh d rumah terus. Xoxo","positif","","","","","","","","","","","","","","","","","","","","","",""
"199","Dodieks Setiawan","Tempatnya makin keren, makin banyak spot buat foto, tapi kenapa kok masih dikenakan parkir 2 kali, padahal tiket masuk dan parkir sdh ditarik dipintu masuk ? Untuk spot foto jg harus bayar diair terjunnya, 🤔 …","positif","","","","","","","","","","","","","","","","","","","","","",""
"200","Rizusteps","Didepan bayar parkir. Didalem dimintain parkir lagi","negatif","","","","","","","","","","","","","","","","","","","","","",""
"201","Dedeg_Aisy_ Amoy","Sangat nyaman bgt cocok bgt untuk brlibur brsama klrga trcinta pasangan anda pacar anda juga dgn hrga tiket yg sangat murah skli mata kita suda dsuguhi dgn pmandangan alam yg sangat asri bgt pokogx bnr"" alami ada juga taman klinci kita hrs …","positif","","","","","","","","","","","","","","","","","","","","","",""
"202","Mas Fauzi (masfau)","Tiket masuk sangat terjangkau, banyak orang orang yang ngecamp disini, hnya sja jarak dari parkiran ke air terjunnya yg menurut saya lumayan jauh dan sedikit menanjak sehingga kurang cocok bagi orang agak sepuh krn lmyan menguras tenaga utk jalan kaki menuji air terjunnya.","negatif","","","","","","","","","","","","","","","","","","","","","",""
"203","Lutfiah","Keren banget...air terjun terindah yg pernah sy jumpai.. tempatnya bersih, keamanan terjaga....hijau dan segar bget....","positif","","","","","","","","","","","","","","","","","","","","","",""
"204","Icha Cechu","Htm 10k/orang
Parkir r2 5k
Banyak spot foto. …","positif","","","","","","","","","","","","","","","","","","","","","",""
"205","warda wardana","Tempatnya bagus. Seru buat nge camp. Air terjun nya bagus. Setiap pagi selalu ada pelangi di air terjun nya. Air nya dingin seperti es. Spot fotonya bagus. Ada tempat wisata kelinci. Ada warungnya. Kamar mandi nya juga bersih dan gratis","positif","","","","","","","","","","","","","","","","","","","","","",""
"206","Dyah Tantri","Tempat yang sejuk dan asri. Cocoklah buat hiling","positif","","","","","","","","","","","","","","","","","","","","","",""
"207","Achmad Basya","Wisata Alam Air Terjum cocok buat Healing , tersedia Camp ground luas, ada cafe2 tepi sungai, kolam renang untuk bocah2, warung2 jg banyak","positif","","","","","","","","","","","","","","","","","","","","","",""
"208","Dark Yagami","Mck ama parkiran udah tertata bagus.
Saran buat pengurus, klo ada yang berkemah dan nyalain musik pake speaker besar, harap disuruh matiin. …","negatif","","","","","","","","","","","","","","","","","","","","","",""
"209","Muggy Paramita","Suka bgt ke wisata ini
Kids friendly dan juga emak friendly","positif","","","","","","","","","","","","","","","","","","","","","",""
"210","Syam Aji","Udara e sejuk, sayang rame , jadi kurang bisa menikmati...soalnya pas hari minggu","negatif","","","","","","","","","","","","","","","","","","","","","",""
"211","Siti Fatma","meskipun dari tiket masuk ke wisata dlundungnya agak jauh tapi setelah sampai worth it dengan tiket masuk terjangkau banget, air terjun yg segar bs merefleksasikan pikiran, bs buat keluarga dan banyak spot foto😉 …","positif","","","","","","","","","","","","","","","","","","","","","",""
"212","Ken Samrockk","Bumi perkemahan yg asri, pembenahan spot2 yg elok, air terjun yg bagus, aman karena bukan berasal dari aliran sungai melainkan sumber mata air. Jadi sangat bagus dan cocok utk wisata dan atau camping family","positif","","","","","","","","","","","","","","","","","","","","","",""
"213","agunk djatmiko","Salah satu destinasi wisata alam di daerah Trawas Mojokerto, area camping nya sangat banyak, biasa digunakan anak sekolah untuk acara latihan dasar kepemimpinan, maupun acara persami Pramuka, bagi keluarga yang ingin menikmati camping di …","positif","","","","","","","","","","","","","","","","","","","","","",""
"214","Ari Anti","HTM terjangkau bagus cocok buat rekreasi keluarga anak"" bs main air tentu nya dgn pengawasan,jg ada taman kelinci, ada bnyk spoot foto yg bagus buat Selfi","positif","","","","","","","","","","","","","","","","","","","","","",""
"215","Sadik Azhar","Salah satu air terjun terbaik di Jawa Timur, aksesnya seru, tidak rugi kesini meski menanjak. Overall, keren sih !!!!","positif","","","","","","","","","","","","","","","","","","","","","",""
"216","Fajar Sobirin","Ke dua kalinya kesini dan GK nyangka tempatnya makin bagus..
Next mau nge camp kesini lagi dehh..😁 …","positif","","","","","","","","","","","","","","","","","","","","","",""
"217","Catatan Kuy","Air Terjun Dlundung terletak di desa Ketapanrame kecamatan Trawas kabupaten  Mojokerto.
Jarak dari tempat parkir ke air terjun lumayan dekat, tinggal naik tangga karena …","positif","","","","","","","","","","","","","","","","","","","","","",""
"218","Beni Dolo Beni Dolo","bagus pemandangannya klu hari minggu rame banget tpi keren semua selalu jaga protokol kesehatan
makanan msh terjangkau …","positif","","","","","","","","","","","","","","","","","","","","","",""
"219","Ahmad Faisol","Lewat gerbang bayar karcis orang+motor. Ditempat parkir bayar lagi parkiran.. Toilet juga berbayar..","negatif","","","","","","","","","","","","","","","","","","","","","",""
"220","Bimar Dwi wahyulantoro","Lumayan buat cari hiburan","positif","","","","","","","","","","","","","","","","","","","","","",""
"221","Khansa Raihani","Tempatnya bagus, ada musholla, toilet, tempat makan. Ada campsite juga. Ada tempat untuk main air, cocok untuk liburan dengan anak-anak. Saran: cari parkir yg masuk ke dalam, sehingga tidak harus jalan jauh.","positif","","","","","","","","","","","","","","","","","","","","","",""
"222","Kang mas “joko tarub” Joko tarub","Saya terakhir berkunjung 3 th yg lalu...tidak menyangka hari ini air terjun dlundung mengalami kemajuan yang pesat. Spot spot  berswa foto sudah banyak dan instragamable. Untuk fasilitas umum juga mengalami perbaikan yang baik,semisal …","positif","","","","","","","","","","","","","","","","","","","","","",""
"223","Deasy Wulan","Disini enak bgt... Dingiin..
Ada taman kelinci, masuk cm 5k
Trus ga usah kuatir kelaperan..banyak yg yg jualan (macem2) …","positif","","","","","","","","","","","","","","","","","","","","","",""
"224","aim matuz","bagusss sii klo mau camp saat weekend padatt pengunjung siap"" susah cri tmpt","negatif","","","","","","","","","","","","","","","","","","","","","",""
"225","Wiwin Dwi I -","Alternatif liburan murah, kabut bikin suasana syahdu, tangga aman, ada persewaan tenda buat pengunjung, hujan hujan ditemani ote2 panas, tahu plus petis, yummy","positif","","","","","","","","","","","","","","","","","","","","","",""
"226","Fifin Kusniyawati","Menyenangkan..dingin..view nya bagus..banyak spot bagus..tapi maaf toilet nya kurang banyak..musolla nya pun  tempate jauh..tapi bagus kok beneran.. ada naik kuda ada taman kelinci ada juga sewa tenda jadi bisa camping..siip deh","positif","","","","","","","","","","","","","","","","","","","","","",""
"227","syahmi MKSR","Sudah lama tak berkunjung ke dlundung waterfall yang sudah semakin tertata rapi dan nyaman untuk di kunjungi wisatawan.. Mulai penataan spot foto, parkir dan camp buat lemah semakin nyaman moga trus di tingkatkan pemeliharaan nya","positif","","","","","","","","","","","","","","","","","","","","","",""
